age,sexF1M2,stage
1,1,calf
2,1,juvenile
3,1,juvenile
4,1,juvenile
5,1,juvenile
6,1,juvenile
7,1,juvenile
8,1,juvenile
9,1,juvenile
10,1,young_female
11,1,young_female
12,1,young_female
13,1,young_female
14,1,young_female
15,1,young_female
16,1,young_female
17,1,young_female
18,1,young_female
19,1,young_female
20,1,young_female
21,1,young_female
22,1,young_female
23,1,young_female
24,1,young_female
25,1,young_female
26,1,young_female
27,1,young_female
28,1,young_female
29,1,young_female
30,1,young_female
31,1,young_female
32,1,young_female
33,1,young_female
34,1,young_female
35,1,young_female
36,1,young_female
37,1,young_female
38,1,young_female
39,1,young_female
40,1,young_female
41,1,young_female
42,1,young_female
43,1,young_female
44,1,old_female
45,1,old_female
46,1,old_female
47,1,old_female
48,1,old_female
49,1,old_female
50,1,old_female
51,1,old_female
52,1,old_female
53,1,old_female
54,1,old_female
55,1,old_female
56,1,old_female
57,1,old_female
58,1,old_female
59,1,old_female
60,1,old_female
61,1,old_female
62,1,old_female
63,1,old_female
64,1,old_female
65,1,old_female
66,1,old_female
67,1,old_female
68,1,old_female
69,1,old_female
70,1,old_female
71,1,old_female
72,1,old_female
73,1,old_female
74,1,old_female
75,1,old_female
76,1,old_female
77,1,old_female
78,1,old_female
79,1,old_female
80,1,old_female
81,1,old_female
82,1,old_female
83,1,old_female
84,1,old_female
85,1,old_female
86,1,old_female
87,1,old_female
88,1,old_female
89,1,old_female
90,1,old_female
91,1,old_female
92,1,old_female
93,1,old_female
94,1,old_female
95,1,old_female
96,1,old_female
97,1,old_female
98,1,old_female
99,1,old_female
100,1,old_female
101,1,old_female
102,1,old_female
103,1,old_female
104,1,old_female
105,1,old_female
106,1,old_female
1,2,calf
2,2,juvenile
3,2,juvenile
4,2,juvenile
5,2,juvenile
6,2,juvenile
7,2,juvenile
8,2,juvenile
9,2,juvenile
10,2,young_male
11,2,young_male
12,2,young_male
13,2,young_male
14,2,young_male
15,2,young_male
16,2,young_male
17,2,young_male
18,2,young_male
19,2,young_male
20,2,young_male
21,2,young_male
22,2,old_male
23,2,old_male
24,2,old_male
25,2,old_male
26,2,old_male
27,2,old_male
28,2,old_male
29,2,old_male
30,2,old_male
31,2,old_male
32,2,old_male
33,2,old_male
34,2,old_male
35,2,old_male
36,2,old_male
37,2,old_male
38,2,old_male
39,2,old_male
40,2,old_male
41,2,old_male
42,2,old_male
43,2,old_male
44,2,old_male
45,2,old_male
46,2,old_male
47,2,old_male
48,2,old_male
49,2,old_male
50,2,old_male
51,2,old_male
52,2,old_male
53,2,old_male
54,2,old_male
55,2,old_male
56,2,old_male
57,2,old_male
58,2,old_male
59,2,old_male
60,2,old_male
61,2,old_male
62,2,old_male
63,2,old_male
64,2,old_male
65,2,old_male
66,2,old_male
67,2,old_male
68,2,old_male
69,2,old_male
70,2,old_male
71,2,old_male
72,2,old_male
73,2,old_male
74,2,old_male
75,2,old_male
76,2,old_male
77,2,old_male
78,2,old_male
79,2,old_male
80,2,old_male
81,2,old_male
82,2,old_male
83,2,old_male
84,2,old_male
85,2,old_male
86,2,old_male
87,2,old_male
88,2,old_male
89,2,old_male
90,2,old_male
91,2,old_male
92,2,old_male
93,2,old_male
94,2,old_male
95,2,old_male
96,2,old_male
97,2,old_male
98,2,old_male
99,2,old_male
100,2,old_male
101,2,old_male
102,2,old_male
103,2,old_male
104,2,old_male
105,2,old_male
106,2,old_male
